# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator: McStas 2.6rc1 - Oct. 12, 2019
# Instrument: Samples_Incoherent.instr
# Ncount: 1000000
# Trace: no
# Gravitation: no
# Seed: 1570894005
# Directory: Samples_Incoherent/4
# Param: L_min=0.5
# Param: L_max=7
# Param: SAMPLE=5
# Param: STOP=1
# Param: V_multiples=0
# Param: Order=0
# Param: INC=5.08
# Param: ABS=5.08
# Param: DB=0
# Param: ISISFACE=hydrogen
# Date: Sat Oct 12 09:53:58 2019 (1570866838)
# type: array_2d(180, 180)
# Source: Samples_Incoherent (Samples_Incoherent.instr)
# component: Sphere_4pi
# position: 0 0 8.3
# title: 4PI PSD monitor
# Ncount: 1000000
# filename: Events.dat
# statistics: X0=0.0567566; dX=104.316; Y0=0.473629; dY=39.2247;
# signal: Min=0; Max=82; Mean=30.7453;
# values: 996148 998.072 996148
# xvar: Longitude
# yvar: Lattitude
# xlabel: Longitude [deg]
# ylabel: Lattitude [deg]
# zvar: I
# zlabel: Signal per bin
# xylimits: -180 180 -90 90
# variables: I I_err N
# Data [Sphere_4pi/Events.dat] I:
2.828427125 3 2.828427125 3.31662479 2.828427125 3.605551275 3 3.31662479 3.16227766 3.741657387 4.123105626 3 2.645751311 3.31662479 3.464101615 1.732050808 2.828427125 3.16227766 3.464101615 4.123105626 3.605551275 3.605551275 1.732050808 2.449489743 2.645751311 3.31662479 3.605551275 3.464101615 2.828427125 3.16227766 3.16227766 2.828427125 2.645751311 2.828427125 2.828427125 3.605551275 3.16227766 2.828427125 3 2.449489743 2.645751311 2.236067977 2 2.449489743 2 3.31662479 2.449489743 3.464101615 3.872983346 3 2.828427125 3.741657387 3.464101615 2.236067977 3.741657387 2.645751311 3.16227766 2.236067977 3.16227766 3.31662479 2.828427125 3.16227766 3.605551275 3.31662479 2.828427125 2 2.236067977 3.605551275 4.123105626 3.464101615 3.464101615 2.645751311 3.16227766 3.741657387 2.828427125 2 2.828427125 3.464101615 3.464101615 2.828427125 3.31662479 3 3.16227766 3.16227766 2.645751311 3.16227766 3.31662479 2.236067977 3.464101615 2 2.645751311 2.449489743 3 3.16227766 2.449489743 2.645751311 3.464101615 2.645751311 2.449489743 2.236067977 2 2.449489743 3 3.31662479 3.16227766 3.464101615 2.645751311 3 4 3.16227766 3.741657387 2.449489743 2.828427125 1 3.16227766 3.16227766 2.645751311 3.16227766 3.605551275 3.464101615 4 3.16227766 3 4.123105626 3 3.16227766 3.464101615 2.828427125 3.31662479 2.828427125 3.16227766 3.16227766 3.16227766 3.741657387 3.464101615 3 2 2.828427125 3.464101615 2.645751311 3.16227766 3 3.605551275 3.605551275 3.741657387 2 2.645751311 2.449489743 2.645751311 2.828427125 3 3 3.16227766 3.16227766 3.464101615 3.741657387 3.31662479 2.449489743 2.449489743 3.31662479 2.645751311 2.828427125 3 2.645751311 2.236067977 3 3.31662479 3.741657387 3 2.236067977 3.16227766 3.464101615 2.828427125 3.605551275 2.828427125 2.645751311 2.449489743 3.464101615 2.449489743 2.828427125 
2.828427125 3.31662479 3.31662479 2.645751311 3.16227766 3 2.449489743 3.31662479 3.31662479 2.449489743 3.31662479 2.449489743 2.828427125 3.464101615 2.828427125 3 3 3.16227766 2.828427125 3 2.236067977 2.645751311 3 2.449489743 2.236067977 3.16227766 3 2.828427125 2.236067977 2.449489743 3 2.828427125 2.828427125 1.732050808 3.16227766 3.31662479 2.828427125 3 3.16227766 2.828427125 2.449489743 3 3 3.605551275 3.16227766 3 2.828427125 3.31662479 2 4.123105626 3.16227766 2 2.449489743 2.828427125 2.236067977 2.645751311 2.828427125 2.449489743 3.464101615 3 2.828427125 2.449489743 2.236067977 3.16227766 3.464101615 1.732050808 2.645751311 3.16227766 3.31662479 2.449489743 2.828427125 2.645751311 2.236067977 2 2.449489743 2 2.236067977 3.31662479 3 2.645751311 3 2.645751311 4 3.31662479 2.236067977 2.449489743 3 2.828427125 3 2.828427125 3.31662479 3.464101615 2.236067977 2.828427125 3.464101615 3.464101615 3.31662479 3 2.645751311 3 3.31662479 3 3.16227766 3 1.732050808 3 3.31662479 2.449489743 3.31662479 2.828427125 3.464101615 2.645751311 2.449489743 1.732050808 2.645751311 3.464101615 2.236067977 3.16227766 3 2.645751311 3 3 2.645751311 3.16227766 2.828427125 2.236067977 2.828427125 3.31662479 3.16227766 3 1.414213562 3 2 2.645751311 2.236067977 2.449489743 3.741657387 3.31662479 2.828427125 3.605551275 2.645751311 3 3.31662479 3.16227766 2.645751311 2.645751311 2.449489743 2.828427125 3 2.449489743 2.828427125 2 3.16227766 2.236067977 2.236067977 3.605551275 3 2.236067977 3.741657387 2.449489743 2.645751311 2.828427125 3.872983346 2.236067977 2.645751311 2.645751311 2.449489743 3.31662479 1.732050808 3.16227766 2.236067977 4.358898944 3 3.464101615 2.236067977 2.828427125 4 3 2.449489743 2.645751311 
3.31662479 1.414213562 2.236067977 2.236067977 3 2.828427125 2.645751311 3.31662479 2.236067977 2.645751311 2.645751311 3.16227766 3.16227766 3 2.449489743 2.236067977 2.828427125 2.828427125 2.645751311 3 2.828427125 2 1.732050808 2.449489743 2.236067977 3.31662479 1.414213562 2.828427125 2.645751311 3.464101615 1.732050808 3.16227766 2.828427125 3 2.236067977 2.449489743 2.449489743 2.449489743 2.449489743 3.605551275 2.236067977 2.645751311 2.645751311 2.236067977 3 2.449489743 3.16227766 2.236067977 2.828427125 2.449489743 2.236067977 2.645751311 2.645751311 2.449489743 2.645751311 3.31662479 2.645751311 2.449489743 2.449489743 2.645751311 2.236067977 3.31662479 2 2.449489743 2.828427125 2.828427125 3.31662479 2.828427125 2.828427125 2.645751311 2 2.449489743 2.449489743 2.828427125 3 3 2.828427125 2.828427125 1.732050808 2 3.16227766 2.645751311 2.828427125 3 2.828427125 1.732050808 2.645751311 2 1.732050808 2.449489743 2.449489743 3 2.236067977 2.449489743 1.732050808 2.645751311 2.449489743 2 3.605551275 2.645751311 3 2.828427125 3 2.449489743 3.464101615 2 2.828427125 2.828427125 2.645751311 3.16227766 3.16227766 2.645751311 3.31662479 3.16227766 2.449489743 3.16227766 2.828427125 3 2.645751311 3.16227766 1.732050808 3.31662479 3 2.645751311 3 2.645751311 2.828427125 2.645751311 2.236067977 1.732050808 2 2.236067977 2.828427125 2 2.645751311 2.449489743 2.828427125 2.645751311 3 3.31662479 2.828427125 1.414213562 2.828427125 3 2.645751311 2.236067977 2.645751311 3 2.236067977 2.449489743 2.645751311 2.645751311 2.828427125 3 3.31662479 1.414213562 3.16227766 1.414213562 3.31662479 3 2.645751311 2.449489743 2.236067977 2.449489743 2.449489743 2.828427125 3.31662479 2.645751311 3.464101615 3 3 2.645751311 3 3.16227766 1.732050808 3 3.16227766 2.449489743 4 2.449489743 
2 1.732050808 2.828427125 2.236067977 3.872983346 1.732050808 2.828427125 2.645751311 2.828427125 2.449489743 2.828427125 3.464101615 2.645751311 3.16227766 3 3.16227766 3.464101615 1.732050808 2 2.645751311 2.449489743 3 2.236067977 2.645751311 2 1.732050808 2.449489743 2.645751311 2.828427125 2.236067977 2.449489743 2.645751311 1 2.449489743 3.464101615 3 2.236067977 2 3 2.236067977 3 1.414213562 2 2.236067977 2.828427125 2.828427125 3.16227766 2.236067977 2 2.828427125 1.732050808 2.449489743 2.236067977 2.236067977 2.645751311 2 3 2.828427125 2.645751311 2.645751311 3 3.16227766 2.645751311 1.732050808 2.449489743 2.236067977 3.16227766 3.31662479 3 2.449489743 3.464101615 3.31662479 1.732050808 2.828427125 3.16227766 2.645751311 2 3 2.236067977 2.828427125 2.828427125 2.645751311 2.449489743 1.732050808 2.828427125 3 2.236067977 3 2.645751311 2.449489743 3 1.732050808 3 1.414213562 2.828427125 2.645751311 1.732050808 2.828427125 2.828427125 1.414213562 2.828427125 2.828427125 2.236067977 2.236067977 2.449489743 2.828427125 1.414213562 1.732050808 2 1.414213562 3.31662479 3.31662479 1.732050808 2.236067977 2.828427125 1.732050808 2.449489743 3 3 2.236067977 2.449489743 3.741657387 2 2.645751311 2.645751311 3.31662479 2.828427125 3.16227766 3.16227766 2.236067977 2.449489743 3 3.16227766 2.828427125 2.449489743 2.236067977 2.645751311 3.16227766 2.449489743 2.449489743 2.645751311 2.449489743 3 2.645751311 2.236067977 2.645751311 2.236067977 2.236067977 2 2.449489743 4 3 2.236067977 2.645751311 2.236067977 2 3 2.828427125 2.828427125 2.449489743 2.645751311 2.236067977 2.236067977 2.449489743 1.414213562 2 3 3 1.732050808 2.236067977 2.449489743 2.449489743 3.16227766 2.828427125 2 2.449489743 1.414213562 2.236067977 1.732050808 2.236067977 
1.414213562 2.449489743 1.732050808 2.236067977 2.828427125 3.16227766 2 3.31662479 3.16227766 2.236067977 2.236067977 2 2.236067977 3.464101615 2 2.449489743 2.828427125 2.236067977 2.236067977 2.236067977 2.449489743 3.464101615 2.645751311 2.449489743 1.732050808 2.236067977 2.449489743 2 2.236067977 2.449489743 2.449489743 2.828427125 2.828427125 2.645751311 2 2.236067977 3.872983346 2.449489743 2.828427125 1.732050808 2 2.236067977 3.31662479 2.645751311 2.449489743 2.236067977 2.449489743 2.645751311 2.828427125 2 3.16227766 2.449489743 2.449489743 2.236067977 1.732050808 3 2.449489743 2 3 2 2.236067977 2.236067977 2.236067977 2.449489743 2.236067977 2.828427125 2 2.236067977 2 2 1.732050808 2.236067977 2.645751311 3.464101615 2.828427125 3 2.449489743 3 2.449489743 2.449489743 2.236067977 2 2.449489743 2.236067977 2 1.414213562 2.645751311 2 3 2.449489743 2 2 1.732050808 2.645751311 1 2.236067977 2.645751311 2.236067977 2.645751311 3 2.645751311 3.16227766 2.449489743 2.449489743 2.236067977 3.605551275 2 1.414213562 1.414213562 2 2.449489743 1.414213562 2.449489743 2.645751311 2.828427125 2 2 1 2.449489743 2.828427125 2.828427125 2.449489743 2.645751311 2 2.828427125 1.414213562 2.645751311 2 2.449489743 2.645751311 2.449489743 2.645751311 2.236067977 2.449489743 2.236067977 2.236067977 2 2.645751311 2 2.449489743 2 1.414213562 2.449489743 2.449489743 3 2.828427125 1.414213562 2.236067977 3 2 1 2.449489743 1 2.449489743 2 2.449489743 2.449489743 2.645751311 2.645751311 1.414213562 3.16227766 1.732050808 1.732050808 2.449489743 1.732050808 2.449489743 2.645751311 1.732050808 2 2.449489743 2 1.414213562 1.732050808 2.828427125 3.16227766 3 3 2.828427125 2.236067977 3.31662479 
2 1.732050808 0 2 2.645751311 2 1.732050808 2 2.449489743 1.414213562 3.872983346 2 1.732050808 3 2.449489743 2.449489743 2 3.16227766 2 2.449489743 2.828427125 1 2.645751311 2.236067977 2 2.236067977 2.236067977 2.449489743 3.16227766 1.732050808 2.645751311 1.414213562 1.414213562 2.645751311 1 2.449489743 1.414213562 3.16227766 2.449489743 2.645751311 2.236067977 2.449489743 2.828427125 2.645751311 2.236067977 2 2 2.236067977 2.236067977 2.236067977 2.236067977 2.236067977 2.828427125 2.828427125 2.449489743 3.16227766 2 2.236067977 2.236067977 1.414213562 2 2.645751311 2 1 2.449489743 2 2.449489743 2.236067977 1.414213562 2.645751311 2.645751311 2.236067977 2 2 3.16227766 1 1.732050808 2.645751311 2.828427125 2.828427125 1.414213562 2.645751311 2.449489743 2.449489743 2 2.449489743 2 2.236067977 1.414213562 1.732050808 2.236067977 2.236067977 2.236067977 1.732050808 3 2.236067977 1 2.236067977 2.645751311 3 2.449489743 2.236067977 2.828427125 2.449489743 1.414213562 2 2.236067977 1.732050808 2 2.645751311 2.236067977 2 1.732050808 1.732050808 2 2 2.236067977 2.828427125 2.645751311 2.449489743 2.828427125 1.732050808 2.449489743 2.645751311 2 3 1 2.236067977 2.236067977 2.828427125 2.236067977 2.645751311 1.414213562 2 2.828427125 2 2 2 1.414213562 1.414213562 1.414213562 2 2.828427125 2.828427125 3 2.236067977 0 3.16227766 1.732050808 2.236067977 1.414213562 2.645751311 2 1.732050808 2.645751311 1.414213562 1.732050808 2.449489743 2.449489743 3.16227766 3.16227766 1.414213562 2.236067977 1 2 2 2.236067977 2.236067977 2.449489743 2 2 1.414213562 1.732050808 1.414213562 2.236067977 1.414213562 2.236067977 2.236067977 1.414213562 1.732050808 
1.732050808 2.236067977 1.414213562 1.732050808 2.645751311 2 2.449489743 2.449489743 1.414213562 1.414213562 2.449489743 2.236067977 1.414213562 1.732050808 2.236067977 1 2.828427125 2.236067977 2 2.236067977 1.414213562 1 2 2.828427125 2.236067977 2.449489743 2 1.732050808 2 1.732050808 2.449489743 1.414213562 1.732050808 1 2 1.732050808 1.732050808 1.414213562 1.732050808 2.236067977 1.414213562 2 0 2 2.828427125 2.236067977 1 2.236067977 2.236067977 1.732050808 2.645751311 1.732050808 1.732050808 1.414213562 1.414213562 2 2.236067977 1 1.732050808 2 2 2.449489743 2.449489743 1.732050808 2.449489743 1.732050808 2.236067977 2 2.236067977 1.732050808 2.236067977 2.828427125 2.236067977 2.449489743 2 2.236067977 1.732050808 1.414213562 2 1.732050808 2.645751311 3.31662479 1.414213562 2.236067977 2 2.236067977 2.449489743 1.732050808 2 2.236067977 1.732050808 1.414213562 2.449489743 2.236067977 2.236067977 1.732050808 1.414213562 1.414213562 2.236067977 1.732050808 2.236067977 2 1.732050808 1.414213562 1.732050808 2.449489743 1.732050808 1 2.236067977 2.236067977 2.236067977 1.732050808 1 1 2.828427125 2.449489743 2.645751311 1.732050808 2.645751311 2 1 1.414213562 1.414213562 1.414213562 1.414213562 2.645751311 2 1.732050808 1.732050808 1.414213562 2.236067977 2.449489743 2 3.31662479 2.236067977 2 1.414213562 2 2.236067977 2.645751311 1 2.236067977 2 1.732050808 1.732050808 1 2 2.236067977 2.236067977 1.732050808 2.828427125 1.414213562 1.732050808 2.828427125 2.828427125 2.828427125 1.414213562 1.732050808 2.449489743 2.828427125 1.732050808 1.732050808 2.236067977 2.828427125 2.236067977 1.414213562 2 1.732050808 2.236067977 2.236067977 1 1.732050808 2 2 1.414213562 2 1.414213562 2.236067977 2.645751311 2 
1 2 1.732050808 2 2.449489743 2 2.236067977 2.645751311 1.732050808 1 1.414213562 1.414213562 1 1.732050808 1.414213562 1.732050808 3.16227766 2 2 1 1.414213562 1.732050808 2 1.414213562 2 2.236067977 1.732050808 1.414213562 2.236067977 1.732050808 2.236067977 1.732050808 2.645751311 2.449489743 2 2.236067977 1 1.732050808 2 1.732050808 1.414213562 2.236067977 1.732050808 1.732050808 2 2.449489743 1.414213562 1.414213562 2.236067977 1 2 2 1.732050808 1.414213562 0 2 2 1.414213562 0 1 2.236067977 2 1 1.732050808 1.732050808 2 1.414213562 1.414213562 1.414213562 2 1.732050808 2.236067977 1.414213562 1.732050808 1.414213562 2 1.732050808 1.732050808 1.732050808 1 1.732050808 2.236067977 1 1.732050808 2.645751311 2.236067977 1 2.645751311 1.732050808 1.414213562 1.732050808 1 2 1.414213562 1.414213562 2.645751311 2 1.732050808 1.732050808 1 2 1.414213562 1.732050808 2 2.449489743 1 2.449489743 2.236067977 2.236067977 1.732050808 2 1.732050808 1.732050808 2.449489743 1.414213562 2 2 2.828427125 1.732050808 1.732050808 1.732050808 2.236067977 2.645751311 1 1.732050808 1.414213562 1.414213562 2.828427125 1 1.414213562 1 1.732050808 2 1.732050808 2 1.732050808 1.414213562 1.414213562 2.236067977 1.414213562 1 1.414213562 2 1.414213562 1.732050808 2.828427125 1.414213562 2.236067977 2.236067977 1.732050808 1.732050808 2 2 2.449489743 1.732050808 1.732050808 1.414213562 2.236067977 1.732050808 1.414213562 1.732050808 2.449489743 0 1.414213562 1.414213562 1.414213562 1.732050808 2.449489743 2.828427125 2 1.414213562 1.414213562 1.732050808 1.414213562 0 1.732050808 2.449489743 1.414213562 2 1.732050808 
2.236067977 2.236067977 1 1.732050808 2.449489743 1.414213562 2.236067977 1 2.645751311 1.414213562 1.414213562 1.414213562 0 1 1.414213562 0 1 2 1.732050808 1 1 2 2.236067977 1.732050808 1.732050808 1 1.732050808 1 1 1.414213562 1.414213562 1.732050808 2 1.732050808 0 1.732050808 0 1 1.732050808 1.732050808 1.732050808 1.732050808 1.414213562 1 1.414213562 1.414213562 1.732050808 1.414213562 1.732050808 2.236067977 1.414213562 1.732050808 2.236067977 1 1.732050808 1.414213562 1.414213562 1.414213562 1.732050808 1 2 1.414213562 1.732050808 0 1.732050808 1 1.732050808 1.732050808 1 1.414213562 1.732050808 1.732050808 1.732050808 1.414213562 0 1.414213562 2.236067977 1.414213562 1 1 1.414213562 1 1.732050808 1.414213562 0 2 1.414213562 2 2 1 2 1.414213562 1 2 1.732050808 1 1 2 2 1.414213562 1.732050808 1.414213562 1.414213562 1 1.414213562 2.236067977 1.732050808 1 1.732050808 1.414213562 3 1.414213562 1 1 2.236067977 2.236067977 1.414213562 1 1.414213562 1.732050808 1.414213562 2 1.414213562 0 1 2 1 1.732050808 2.449489743 1.732050808 1.732050808 1.732050808 1 1.732050808 1 1.414213562 1.732050808 1.414213562 1.732050808 0 1.732050808 1.414213562 1.414213562 1.732050808 2 1.732050808 1.414213562 1.414213562 1 2 1.414213562 2 1.414213562 1.414213562 1.732050808 2 1.732050808 2 1.414213562 1.414213562 1.732050808 2 1.732050808 1.414213562 0 1.732050808 1.414213562 1 1 2.449489743 1.414213562 2.236067977 1 1.732050808 1.732050808 1 2.645751311 1.732050808 0 0 
1 0 1.414213562 0 1 2 1.414213562 1 2 0 1 1.732050808 1.414213562 1.414213562 2.236067977 0 1 1.732050808 2.236067977 0 2 1 2.236067977 1 1.414213562 1.414213562 1.414213562 1.414213562 1.732050808 1 1.414213562 1 1.414213562 1 1 0 1 2 2 1.414213562 1.414213562 1 1.732050808 1 1.414213562 2 1.732050808 1.414213562 1.732050808 1 1.414213562 1.414213562 1.414213562 1.732050808 1 1.414213562 1.414213562 2.236067977 1.414213562 1.414213562 1.414213562 0 2 2 0 1 1.732050808 0 1.732050808 1.414213562 1 1 0 0 1.414213562 1.732050808 1 1 1.732050808 0 0 1 1.414213562 1.414213562 2.449489743 1 2 0 1.732050808 0 1 1 1 1.732050808 0 1 1.414213562 1.732050808 1.414213562 1 1.414213562 1 1 1.414213562 1 0 1.414213562 1 1 1.732050808 1.414213562 0 1.414213562 2.449489743 0 0 1 1.414213562 1.414213562 1.414213562 2 1 0 1 1.414213562 0 1.414213562 1.414213562 1 1.732050808 1.414213562 1 0 1.732050808 1.414213562 1.414213562 1.414213562 1.732050808 1.414213562 1 0 1.414213562 1.414213562 0 1.414213562 1.414213562 1 1.414213562 0 1 0 1 1 1.414213562 1 1.414213562 1.414213562 1.414213562 1.732050808 1.732050808 1.732050808 1.732050808 1.732050808 1.732050808 1.732050808 1.732050808 0 1.414213562 1 1.732050808 1.732050808 0 1.732050808 1.414213562 1.732050808 1.414213562 1.414213562 2 0 1 
1 1 0 1.732050808 1.732050808 0 0 1 1.414213562 1 1.414213562 0 2 0 1.414213562 0 1 0 1 1.732050808 0 1 0 0 1 1 0 0 1.414213562 1 1 0 0 1 0 0 0 1 1.414213562 0 0 0 1 1.414213562 1 1.414213562 1 0 1 1 0 1 0 0 0 0 0 1.414213562 1 1 1.732050808 0 1 1.732050808 0 0 1 1 1.414213562 1.414213562 1 0 1.732050808 1 1 1.732050808 2 0 1 1.414213562 1 2 1 0 1.414213562 1 0 1 0 1.414213562 0 1.414213562 0 0 0 1.414213562 1.414213562 1.414213562 0 1.732050808 1 0 1 1.732050808 1.414213562 0 1.414213562 1 1.414213562 1.414213562 1 0 0 1 0 1.414213562 0 1 1 1.414213562 1 1.414213562 1.732050808 0 1 1 1.414213562 1 1 1.732050808 1.414213562 0 0 0 0 1 0 0 1 1.732050808 1 0 1 1 0 0 1.732050808 0 1.414213562 0 1.414213562 1 1.732050808 0 1 1 1 1 1 1 1 1 1 0 1.414213562 0 1 0 1 1 1.732050808 1 0 0 1 1.414213562 0 1 0 0 
# Events [Sphere_4pi/Events.dat] N:
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 1 0 1 0 0 0 1 1 1 1 1 0 1 1 1 1 0 1 1 0 2 0 0 0 2 0 0 0 0 0 1 1 1 0 0 1 1 0 2 1 3 0 0 3 0 0 1 1 0 1 4 1 1 0 0 1 1 0 0 2 1 0 0 1 1 1 3 0 1 1 0 1 0 1 1 0 2 1 0 0 2 1 0 0 1 0 0 2 0 0 0 2 0 1 1 1 1 1 0 0 1 1 0 2 1 3 1 0 0 0 0 1 0 0 0 0 1 0 2 3 1 3 3 0 0 1 2 1 0 0 0 0 0 1 2 1 3 0 1 3 0 1 3 2 0 0 2 2 0 0 2 1 2 0 1 0 1 1 2 2 3 2 0 0 0 2 2 0 1 2 3 0 0 0 0 3 2 0 
1 4 4 4 3 2 4 1 2 1 3 1 2 3 1 2 3 4 1 1 0 0 0 3 2 1 0 1 3 2 2 0 2 1 4 4 1 0 3 1 3 3 2 0 0 1 2 3 0 0 0 2 0 3 1 4 1 1 3 3 3 1 0 2 3 6 0 2 1 3 0 3 2 2 5 3 3 3 1 1 3 2 2 2 0 1 4 0 2 3 2 3 2 3 1 0 3 0 3 3 1 2 2 0 4 2 5 3 3 3 1 2 2 1 0 2 2 1 0 1 3 5 2 2 3 2 1 2 4 1 1 1 4 1 2 0 0 1 2 2 2 0 0 1 1 2 3 3 1 2 3 2 1 1 2 4 1 2 0 1 2 2 0 2 1 4 3 4 0 0 0 1 1 0 1 1 2 0 2 2 
3 2 4 0 6 2 2 1 5 3 2 4 3 2 2 3 3 3 1 2 1 1 3 3 5 3 6 1 1 1 5 2 4 3 4 2 1 3 3 6 4 3 1 1 4 2 5 1 3 1 2 3 2 3 2 4 2 2 1 2 2 4 0 1 2 3 3 1 4 2 2 1 3 1 1 2 3 3 0 3 2 3 1 1 3 2 2 1 2 2 2 1 2 4 1 7 1 3 6 1 1 3 6 3 5 2 4 4 3 3 5 2 5 3 2 5 0 1 0 1 6 3 3 2 0 3 1 3 5 4 0 4 1 3 2 2 2 6 5 1 3 6 7 4 3 1 0 0 1 3 0 3 5 2 5 4 4 3 2 1 1 2 1 2 3 2 2 2 2 3 3 2 3 4 4 2 4 1 1 3 
1 4 1 6 1 1 4 7 2 1 4 2 5 3 5 2 3 3 2 2 4 4 3 3 4 5 3 6 4 3 7 3 3 5 4 1 2 10 4 1 2 3 2 5 3 5 6 2 1 0 1 3 3 3 3 2 3 3 4 3 4 3 6 2 2 3 3 4 2 3 5 1 3 7 3 1 8 4 1 1 2 3 8 3 4 0 3 3 1 0 6 4 5 2 3 2 3 4 3 4 9 2 5 4 6 5 1 6 8 1 2 4 3 7 3 5 3 1 4 7 4 5 2 5 2 3 1 2 1 1 6 5 4 2 6 2 4 1 4 2 0 6 5 4 4 3 4 4 3 5 7 0 3 3 2 3 2 1 4 5 2 5 3 5 5 0 5 2 5 4 5 3 3 2 2 3 1 6 1 2 
3 8 5 2 4 7 6 4 4 3 3 6 5 4 5 2 4 2 5 3 0 3 3 9 5 7 5 5 1 4 5 2 5 4 2 4 3 6 4 6 4 6 6 2 3 1 2 6 2 4 6 5 3 3 1 7 5 6 4 4 5 4 4 4 5 2 2 6 2 2 3 5 5 5 3 7 4 5 3 5 3 3 4 3 8 6 5 10 4 4 1 4 4 3 4 7 4 6 2 4 4 3 2 5 6 7 3 2 2 2 2 3 2 5 4 4 7 3 4 5 9 3 6 0 2 3 4 8 6 4 7 4 2 3 5 9 3 4 1 1 4 2 2 8 7 2 5 4 5 6 1 4 2 5 2 6 8 4 4 4 6 2 3 4 4 8 5 3 2 1 9 2 5 3 2 2 4 5 4 7 
6 9 6 4 9 6 8 7 9 5 5 7 7 7 11 4 9 3 2 10 6 10 5 5 2 10 3 4 3 4 8 4 2 2 7 7 6 7 8 5 9 6 6 1 1 8 4 5 6 7 7 3 4 7 6 5 7 8 3 0 4 4 3 6 2 4 5 7 2 10 6 3 3 6 7 1 5 8 8 8 5 6 5 5 6 7 4 11 4 6 1 5 2 11 12 3 10 3 2 3 5 5 7 4 3 6 2 1 8 7 3 4 3 9 2 3 6 4 5 4 10 6 6 1 6 5 6 7 5 7 7 4 4 7 2 2 3 6 6 6 10 2 8 7 6 3 10 5 4 2 1 5 9 6 8 3 6 4 4 9 7 4 6 4 8 3 5 5 8 4 4 6 4 5 3 8 7 6 8 8 
5 3 8 6 3 2 4 2 6 5 7 7 4 5 5 3 2 6 3 3 9 3 6 7 3 5 3 5 1 7 7 8 3 6 8 3 1 6 9 5 4 6 7 10 6 8 7 1 7 4 4 2 5 5 6 5 5 7 3 6 6 3 5 5 4 7 7 6 5 9 6 1 7 8 8 0 5 5 5 4 7 7 5 4 4 7 4 8 7 4 4 5 7 5 10 5 2 5 9 6 5 4 7 7 7 8 7 5 6 9 3 2 9 7 3 2 5 7 4 2 6 5 5 8 7 6 7 11 3 5 4 7 5 5 2 4 1 6 6 6 6 14 4 7 6 6 3 9 7 7 8 8 5 8 4 4 4 5 6 1 6 4 10 6 3 10 7 5 5 5 14 3 8 7 3 9 4 5 5 6 
7 9 7 4 3 5 12 8 6 6 7 2 4 7 9 4 8 2 10 9 11 6 9 9 8 6 11 10 4 3 8 8 6 12 7 8 5 8 7 9 4 8 6 5 8 4 7 8 6 9 4 3 9 9 8 7 3 6 5 10 4 6 7 2 5 6 4 9 5 9 7 3 5 7 4 3 8 4 9 5 3 6 5 7 10 6 8 10 8 9 5 9 9 6 10 9 3 3 6 2 4 5 5 7 7 8 7 9 5 1 7 9 8 9 6 11 6 6 4 7 7 4 4 4 10 9 11 7 9 8 9 5 9 6 7 1 7 5 7 5 7 5 11 8 6 5 10 10 2 8 9 3 6 7 8 4 4 5 11 9 12 11 6 8 9 6 7 9 4 10 6 6 9 9 6 6 8 4 7 8 
5 11 3 8 5 8 12 5 5 6 6 7 6 7 10 8 14 10 8 6 9 6 10 8 10 8 6 8 14 9 3 7 6 7 7 5 4 6 7 11 7 5 8 7 6 12 8 7 4 10 9 6 9 9 7 11 6 15 5 5 11 6 9 9 9 7 4 11 7 7 8 6 11 6 5 7 7 5 9 5 7 8 6 5 9 6 6 6 10 8 5 13 2 6 9 7 10 6 8 6 7 2 6 5 6 7 10 8 7 11 9 9 6 4 9 9 7 7 2 9 6 4 7 9 5 10 11 5 3 5 10 7 5 12 11 10 10 5 7 8 11 11 7 18 8 11 4 4 6 6 8 11 11 3 15 6 6 9 5 8 7 9 10 8 8 8 5 11 11 9 6 9 4 10 16 6 11 5 6 6 
11 11 4 8 9 8 11 5 6 14 12 10 6 2 6 5 5 11 7 9 9 3 10 12 13 7 4 10 9 8 3 8 9 10 5 8 9 7 10 4 7 10 4 11 10 6 11 9 12 7 7 3 6 8 7 12 6 13 6 4 4 10 5 10 10 9 9 7 8 9 8 8 13 4 9 10 9 10 9 8 3 9 3 12 1 4 2 5 16 14 10 8 6 8 5 10 12 13 10 11 6 15 8 7 11 5 4 5 10 13 8 13 6 6 12 5 6 11 7 7 8 4 8 6 5 8 11 9 8 9 17 9 15 6 9 9 7 10 9 8 12 9 7 16 10 8 10 3 8 5 10 7 2 12 7 8 7 4 8 6 8 4 12 13 11 12 8 12 6 7 12 9 7 11 12 7 9 7 9 2 
